;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
3;2021-07-08 09:02:53;🚨🤝 Sergio Ramos à Paris c'est officiel ! Pour fêter l'arrivée de la légende, Unibet vous offre son maillot floqué 😍… https://t.co/eOFc2ZoAHA;3875;1234;[];[];Paris, France;TweetDeck;Sergio Ramos
4;2021-07-08 09:15:57;OFFICIAL: Sergio Ramos joins PSG on a two-year deal 💪 https://t.co/sNH1QkzGEr;3650;40233;[];[];;TweetDeck;Sergio Ramos
5;2021-07-08 10:28:22;"Neymar contract ✅
Wijnaldum ✅
Hakimi ✅
Sergio Ramos ✅

PSG getting business done this summer ✍️ https://t.co/wcMIwueMZe";1737;18960;[];[];;TweetDeck;Sergio Ramos
6;2021-07-07 17:03:10;"SERGIO RAMOS 🇪🇸 SORT DE LA FACTORY ! 

C’EST FAIT ! IL A SIGNÉ AU PSG ET VIENT VOIR LES SUPPORTERS 🔴🔵

C’EST LA FOL… https://t.co/XcgkZzFibK";1910;6711;[];[];Paris;Twitter for iPhone;Sergio Ramos
7;2021-07-07 14:58:50;"IL EST LÀ !!!

SERGIO RAMOS EST ARRIVÉ À LA FACTORY !! 🇪🇸🔴🔵🔥
#PSG https://t.co/BKHhdDFauk";1685;6082;['PSG'];[];Paris;Twitter for iPhone;Sergio Ramos
8;2021-07-08 10:14:16;"🔴🔵 Sergio Ramos signs on until 2023 at Paris ✍️

Will he lift the #UCL trophy again this season?

@SergioRamos |… https://t.co/IT6ZMyVsDk";1577;23407;['UCL'];['SergioRamos'];Nyon, Vaud;Twitter Web App;Sergio Ramos
9;2021-07-08 09:07:48;BOMBAZO OFICIAL. Sergio Ramos es nuevo jugador del PSG. Llega como agente libre tras una legendaria etapa de 16 año… https://t.co/zIQOvyZP7D;646;8577;[];[];;Twitter Web App;Sergio Ramos
10;2021-07-08 11:09:06;OFICIAL! O PSG anunciou a contratação de Sergio Ramos nesta quinta, até junho de 2023! QUE REFORÇO, AMIGO! 🔥🔥🔥 #PSG… https://t.co/kYv5fpe6D0;695;11474;['PSG'];[];Brasil;Twitter for iPhone;Sergio Ramos
11;2021-07-08 09:07:15;El PSG anuncia el fichaje de Sergio Ramos. Con Achraf, Donnaruma, Wijnaldum y ahora suena Pogba. Dónde está el lími… https://t.co/WesW0SqNCG;1151;8127;[];[];Tiana -Barcelona-Segovia;Twitter for iPhone;Sergio Ramos
12;2021-07-08 10:58:27;"Tuesday: Achraf Hakimi ✍️
Thursday: Sergio Ramos ✍️

PSG aren't messing about this week 👀 https://t.co/AI6Xet2rH1";654;10215;[];[];Everywhere;Twitter Web App;Sergio Ramos
13;2021-07-08 09:02:06;OFFICIAL: Sergio Ramos joins PSG after leaving Real Madrid earlier this summer ✍️ https://t.co/WOn7prc6Dt;1588;19944;[];[];Everywhere;Twitter Web App;Sergio Ramos
14;2021-07-08 10:25:48;"“Welcome to the family my friend!""

David Beckham 🤝 Sergio Ramos 

🔴🔵 #WelcomeSergio https://t.co/wBy8JBvGMz";627;5775;['WelcomeSergio'];[];;Twitter for iPhone;Sergio Ramos
15;2021-07-07 09:00:59;🔴🔵 Sergio #Ramos vient d’atterrir à Paris ! Il va passer la visite médicale comme prévu cet après midi avant de s’e… https://t.co/nDPRz3O7dC;814;5873;['Ramos'];[];Paris • Marseille;Twitter for iPhone;Sergio Ramos
1;2021-07-07 13:50:15;Ya que López habló del Nobel, ¿qué están esperando las mascotas amaestradas del chisguete de transformación para ex… https://t.co/zFGsoECRJq;614;4125;[];[];;Twitter for iPhone;López
2;2021-07-08 15:38:58;Official and confirmed. Pau López joins OM from AS Roma on loan with buy option [potential obligation clause includ… https://t.co/IJemie8yZq;805;13088;[];[];Milano, Italia;Twitter for iPhone;López
3;2021-07-07 20:02:21;¿Qué lecciones se pueden aprender de la elección de un magistrado del @TC_Peru hecho al caballazo por el… https://t.co/CvzFCGOp4l;762;1606;[];['TC_Peru'];Peru;Twitter for iPhone;López
4;2021-07-07 16:14:04;"Les comparto una noticia que me hace muy feliz. 

López-Dóriga domina la conversación en Twitter e Instagram durant… https://t.co/cRH9DwmieS";514;3878;[];[];Ciudad de México;TweetDeck;López
5;2021-07-07 10:53:19;AS Roma are set to sign Rui Patricio from Wolves, agreement to be completed soon after €10m official bid [plus €3m… https://t.co/11yDJFJ2LF;1474;20879;[];[];Milano, Italia;Twitter for iPhone;López
